id,solver,result,len_proof,time,benchmark_id,polymul
33217ca2-7e10-4045-90b5-556019e06298,z3,solved,176,0.02,euclidex_inv2.smt2,-1
af957f15-b022-42fe-8bc2-60741eba112a,z3,solved,188,0.02,euclidex_inv3.smt2,-1
d7381235-4344-4952-a1c3-25b7bd67ea74,z3,solved,246,0.03,euclidex_inv4.smt2,-1
c08f3de1-a8ac-4fd1-a006-14b695c8647b,z3,solved,236,0.02,euclidex_inv5.smt2,-1
f1e5ae8b-f6b9-4a4f-8870-b3e2abbc760f,vampireZ3,solved,106,0.204,knuth_inv1.smt2,0
51ca59de-6154-4386-9084-30b0565bfab4,vampireZ3polymul,unsolved,-1,300,knuth_inv1.smt2,-1
b2fd0665-7aba-43ba-b278-7af7fbe770f1,z3,solved,337,0.02,knuth_inv1.smt2,-1
e907f96c-7d7d-487e-8447-0861fc2015f5,vampireZ3,solved,33,0.079,fermat_inv1.smt2,0
e6f850d1-c7f7-4f6a-ada6-49a7d47e3119,vampireZ3polymul,unsolved,-1,300,fermat_inv1.smt2,-1
c1e8001c-9892-4dca-a349-eab2aad5fe4d,z3,solved,116,0.02,fermat_inv1.smt2,-1
66df2615-b7e8-48f5-bd36-d2a9a38996a7,vampireZ3,solved,42,0.04,wensley_inv1.smt2,0
b2a6fafa-ed1d-40fc-a3fd-31898fca45e8,vampireZ3,solved,20,0.037,wensley_inv2.smt2,0
33ef7a40-4245-40ca-a27e-76f6d68476b6,vampireZ3,solved,44,0.04,wensley_inv3.smt2,0
c37b51e1-cec7-4675-9c88-65418db54803,vampireZ3polymul,solved,26,0.031,wensley_inv1.smt2,1
7e160829-8fce-481e-ae07-42e722f4985b,vampireZ3polymul,solved,19,0.032,wensley_inv2.smt2,1
86e04f00-8e13-438e-9c1b-72e6b7441578,vampireZ3polymul,solved,27,0.034,wensley_inv3.smt2,1
939823ba-3940-4d99-b1b5-2435ba29a77d,z3,solved,161,0.01,wensley_inv1.smt2,-1
980b8b9b-6e64-4009-9894-dd98fe1673b1,z3,solved,136,0.01,wensley_inv2.smt2,-1
c6ea007d-3c82-4560-9d91-f52b7cd11452,z3,solved,174,0.01,wensley_inv3.smt2,-1
090ca749-a900-49fb-b7a7-eea2ad661ea5,vampireZ3,solved,32,0.051,lcm_inv1.smt2,0
8cdd82d8-d37f-4524-81cc-c0e52819bcd0,vampireZ3polymul,solved,22,0.04,lcm_inv1.smt2,1
5ac6ff2b-6d81-4344-9898-2d1da9cbf684,z3,solved,110,0.02,lcm_inv1.smt2,-1
6df661c8-e93f-4a78-8ce0-ff2edd3c124e,vampireZ3,solved,33,0.045,prodbin_inv1.smt2,0
31353e9a-1bc1-4f2e-a2f5-36284f0bc4cc,vampireZ3polymul,solved,19,0.03,prodbin_inv1.smt2,1
0ebbbfe2-746d-46de-91a6-92cb34363d91,z3,solved,69,0.01,prodbin_inv1.smt2,-1
577c9fc3-1a98-4f30-80d0-032923235966,vampireZ3,solved,33,2.019,cohencu_norm_inv1_1xlen2.smt2,0
f2072c37-15db-4c2b-8bda-039b753c6f93,vampireZ3,solved,33,2.053,cohencu_norm_inv1_1xlen3.smt2,0
9ec03999-5709-4169-8522-d2c851e24542,vampireZ3,solved,33,2.048,cohencu_norm_inv1_1xlen4.smt2,0
a77bf735-5b6c-4d6b-8aed-e04c9d365645,vampireZ3,solved,32,2.09,cohencu_norm_inv1_2xlen2.smt2,0
d69d0b68-5c1e-4517-9ae5-93661ce7bd4b,vampireZ3,solved,33,2.165,cohencu_norm_inv1_2xlen3.smt2,0
dbcc0ed3-fc97-4783-b977-b83c4342034a,vampireZ3,solved,32,11.376,cohencu_norm_inv1_3xlen2.smt2,0
a1d3a81e-e58c-4ca9-9021-d64a9011b328,vampireZ3,solved,33,2.052,cohencu_norm_inv2_1xlen2.smt2,0
e0017bd6-7afe-4857-ae5a-e1fbc6cb3915,vampireZ3,solved,33,2.108,cohencu_norm_inv2_1xlen3.smt2,0
9aa6693c-3272-433d-9b15-c79428c6d148,vampireZ3,solved,32,2.084,cohencu_norm_inv2_1xlen4.smt2,0
08b6dab2-a8a5-4b40-89e6-2fa50cfe4de6,vampireZ3,solved,33,2.087,cohencu_norm_inv2_2xlen2.smt2,0
ede224c0-d0ad-4133-a5d7-351cf4a477a0,vampireZ3,solved,33,2.289,cohencu_norm_inv2_2xlen3.smt2,0
8a7aaa73-0c78-42f1-b617-e5ef2514afad,vampireZ3,unsolved,-1,300,cohencu_norm_inv2_3xlen2.smt2,-1
c81193fb-600d-4f91-8585-a71065ecbd13,vampireZ3,solved,33,2.072,cohencu_norm_inv3_1xlen2.smt2,0
76571f48-3b97-4a14-bad6-e9cfb0ff04ef,vampireZ3,solved,32,2.101,cohencu_norm_inv3_1xlen3.smt2,0
291ad822-0555-4fcf-a18c-ea457352bfc7,vampireZ3,solved,32,2.071,cohencu_norm_inv3_1xlen4.smt2,0
2094147c-d47d-473b-9125-f68c102bded1,vampireZ3,solved,33,4.167,cohencu_norm_inv3_2xlen2.smt2,0
ab5037d9-877b-43be-92ca-2220819287a2,vampireZ3,solved,32,3.977,cohencu_norm_inv3_2xlen3.smt2,0
bb2f5f7b-7801-43b6-919d-00c773b27956,vampireZ3,unsolved,-1,300,cohencu_norm_inv3_3xlen2.smt2,-1
b317df6f-26b3-4a06-9f7f-18bbf6ce3c04,vampireZ3,solved,32,2.071,cohencu_norm_inv4_1xlen2.smt2,0
72f9fbfb-4cc5-446d-9601-4db3e4ad4303,vampireZ3,solved,32,2.158,cohencu_norm_inv4_1xlen3.smt2,0
2ea4912d-3167-46e4-ab49-f0f81e8d8532,vampireZ3,solved,32,2.269,cohencu_norm_inv4_1xlen4.smt2,0
2222fdf2-2a98-438e-809b-2a6669b190c0,vampireZ3,solved,32,3.363,cohencu_norm_inv4_2xlen2.smt2,0
5245f915-3125-4239-bb05-aba697104114,vampireZ3,solved,32,3.996,cohencu_norm_inv4_2xlen3.smt2,0
b7c079ca-2e16-4186-bb6d-0bc93417fa44,vampireZ3,unsolved,-1,300,cohencu_norm_inv4_3xlen2.smt2,-1
6e8434d5-bc29-4678-b895-e14c6f250661,vampireZ3,solved,33,2.24,cohencu_norm_inv5_1xlen2.smt2,0
2a8b4d70-1a61-4b25-882b-c36aec844e8c,vampireZ3,solved,33,2.171,cohencu_norm_inv5_1xlen3.smt2,0
8fd3c85d-99a8-47c7-bc9d-3289bd8e6b97,vampireZ3,solved,33,2.452,cohencu_norm_inv5_1xlen4.smt2,0
415cd54b-6e22-41a0-83c0-62ccfd545805,vampireZ3,solved,32,2.479,cohencu_norm_inv5_2xlen2.smt2,0
96eb7443-a65e-4926-9d10-740745944ad9,vampireZ3,solved,32,8.565,cohencu_norm_inv5_2xlen3.smt2,0
1e4b8bc7-27c7-41d8-8f6c-b64988a33d65,vampireZ3,unsolved,-1,300,cohencu_norm_inv5_3xlen2.smt2,-1
d43e1123-74f4-4a38-bbbd-45e6510d4e58,vampireZ3,solved,33,2.208,cohencu_norm_inv6_1xlen2.smt2,0
8d49fe01-98b3-49f9-88ca-7459a8380341,vampireZ3,solved,32,2.194,cohencu_norm_inv6_1xlen3.smt2,0
cfc0b3f4-a000-4aea-85bc-b3c5b67efb03,vampireZ3,solved,32,2.307,cohencu_norm_inv6_1xlen4.smt2,0
411a942b-5e85-4a2e-807e-78d8330c8ebb,z3,solved,528,0.06,cohencu_norm_inv1_1xlen2.smt2,-1
bb3d2567-f0be-4f8c-8b35-153900b311be,z3,solved,562,0.04,cohencu_norm_inv1_1xlen3.smt2,-1
66c8436b-0084-44b6-ae71-a8f301b7772b,z3,solved,615,0.05,cohencu_norm_inv1_1xlen4.smt2,-1
e22fcd15-c13a-4a75-b891-b84c30d94591,z3,solved,645,0.04,cohencu_norm_inv1_2xlen2.smt2,-1
1e646abd-3f94-4204-b9d7-0be6c64cba92,z3,solved,846,0.11,cohencu_norm_inv1_2xlen3.smt2,-1
bf4043ae-95a8-402a-a8a8-63fd8c58f51b,z3,solved,755,0.15,cohencu_norm_inv1_3xlen2.smt2,-1
d17566a9-bcfe-4723-b1ef-a49218379593,z3,solved,582,0.05,cohencu_norm_inv2_1xlen2.smt2,-1
6d539c54-929d-4ebb-b44e-6e6bcc5a12ac,z3,solved,540,0.06,cohencu_norm_inv2_1xlen3.smt2,-1
009adfab-bd44-4049-b572-6343ff113eb5,z3,solved,545,0.06,cohencu_norm_inv2_1xlen4.smt2,-1
5aac77e3-8983-448b-988c-b0199a5d4bb6,z3,solved,714,0.05,cohencu_norm_inv2_2xlen2.smt2,-1
f90c0cff-51bc-4a05-9c61-7f57eb60be79,z3,solved,820,0.08,cohencu_norm_inv2_2xlen3.smt2,-1
7263c7a5-7463-4502-98cd-89b4613ee3eb,z3,solved,1053,0.17,cohencu_norm_inv2_3xlen2.smt2,-1
bf78f1be-6604-455d-a511-acbc115e4a63,z3,solved,630,0.08,cohencu_norm_inv3_1xlen2.smt2,-1
11101f47-1e3f-4e33-b691-b96b4a541296,z3,solved,751,0.16,cohencu_norm_inv3_1xlen3.smt2,-1
f88b0c70-c064-47e4-a349-3b88de79d573,z3,solved,768,0.1,cohencu_norm_inv3_1xlen4.smt2,-1
b66e0b0b-8101-49cc-85af-46b793da6bbd,z3,solved,879,14.74,cohencu_norm_inv3_2xlen2.smt2,-1
5b88d10b-2f75-4ed1-911e-c7091dac2117,z3,solved,1189,0.32,cohencu_norm_inv3_2xlen3.smt2,-1
1f05097a-e870-491e-a8bc-b12287c80528,z3,solved,1567,28.42,cohencu_norm_inv3_3xlen2.smt2,-1
7eb8506f-ba7e-4c6c-b05a-3d9bda6a389a,z3,solved,713,0.09,cohencu_norm_inv4_1xlen2.smt2,-1
61507364-1d41-40a9-b1f9-43154c431355,z3,solved,685,0.17,cohencu_norm_inv4_1xlen3.smt2,-1
a46c4d0a-d292-4bd0-a83f-560667360f29,z3,solved,1188,0.59,cohencu_norm_inv4_1xlen4.smt2,-1
77de1918-12cd-4863-bbee-6756d0bf6070,z3,solved,1358,9.88,cohencu_norm_inv4_2xlen2.smt2,-1
c15569a3-33b7-489f-bc64-8e02d4d3a2db,z3,solved,2424,16.53,cohencu_norm_inv4_2xlen3.smt2,-1
5b6f9f29-e221-4f62-976c-a8a8c632e5d2,z3,solved,1777,3.48,cohencu_norm_inv4_3xlen2.smt2,-1
3672d761-dd1d-4917-b910-fae9468989b2,z3,solved,1047,0.17,cohencu_norm_inv5_1xlen2.smt2,-1
02678018-501c-4589-a204-a6e97c54b2bf,z3,solved,1211,0.17,cohencu_norm_inv5_1xlen3.smt2,-1
c4e7c84f-29c3-47ee-ae71-96471aec6e60,z3,solved,1149,0.35,cohencu_norm_inv5_1xlen4.smt2,-1
0b60e8f9-9beb-44dc-af76-86331cacb547,z3,solved,1552,0.86,cohencu_norm_inv5_2xlen2.smt2,-1
b90bdb58-7e6a-4dec-9cbc-9843e53e3989,z3,solved,2990,2.72,cohencu_norm_inv5_2xlen3.smt2,-1
da7d4f37-c978-4c94-b0c2-1184dc76ebe5,z3,solved,2108,8.73,cohencu_norm_inv5_3xlen2.smt2,-1
34cc1b48-44c3-428b-90b0-2435c790816c,z3,solved,1502,0.2,cohencu_norm_inv6_1xlen2.smt2,-1
f1b4793b-433a-4505-843c-0b817d1e9077,z3,solved,819,0.13,cohencu_norm_inv6_1xlen3.smt2,-1
e550d294-4fcb-42d5-81a7-8e6092d9fd19,z3,solved,1000,0.45,cohencu_norm_inv6_1xlen4.smt2,-1
10e2c388-8aae-42d4-af3a-6412ddbb73bf,vampireZ3,solved,23,1.139,cubes_norm_inv1_1xlen2.smt2,0
8e428eea-4d59-4241-89ed-e29f6313b9df,vampireZ3,solved,23,2.599,cubes_norm_inv1_1xlen3.smt2,0
23e46422-85ec-43f3-b832-c949976df5a6,vampireZ3,solved,23,2.041,cubes_norm_inv1_1xlen4.smt2,0
6834f436-4527-4d2f-ae88-4c011232e3d7,vampireZ3,solved,24,2.05,cubes_norm_inv1_2xlen2.smt2,0
602c14a3-96c8-41a2-aed2-00040f6e0f69,vampireZ3,solved,23,2.106,cubes_norm_inv1_2xlen3.smt2,0
f97bae34-bb14-4ab3-982e-26f7800eae0c,vampireZ3,solved,24,10.223,cubes_norm_inv1_3xlen2.smt2,0
194c8bf0-7a69-4939-ac06-cc56df1f5226,vampireZ3,solved,24,2.053,cubes_norm_inv2_1xlen2.smt2,0
d0bb036b-63f5-49fc-88bd-939221cdc7ff,vampireZ3,solved,23,2.044,cubes_norm_inv2_1xlen3.smt2,0
a2f018a6-8877-4130-b268-de9c8e64fccc,vampireZ3,solved,24,2.049,cubes_norm_inv2_1xlen4.smt2,0
38bd22e6-032a-46ff-9e0c-ec8e7902c0b6,vampireZ3,solved,24,2.362,cubes_norm_inv2_2xlen2.smt2,0
8f2bbca8-c9cf-4beb-ae83-98368ec3472f,vampireZ3,solved,23,2.344,cubes_norm_inv2_2xlen3.smt2,0
c2a20d28-098b-4ff1-b641-668c9cd77db0,vampireZ3,unsolved,-1,300,cubes_norm_inv2_3xlen2.smt2,-1
df96f424-13e0-4486-bec5-2650417667db,vampireZ3,solved,24,2.357,cubes_norm_inv3_1xlen2.smt2,0
47233130-bb2f-4ef9-aad2-024a05413bbe,vampireZ3,solved,24,2.049,cubes_norm_inv3_1xlen3.smt2,0
04843cff-8947-4ff1-9caf-2537f4379bf5,vampireZ3,solved,23,2.045,cubes_norm_inv3_1xlen4.smt2,0
96a073ae-1bca-4c76-9731-27fe362a2ff5,vampireZ3,solved,23,2.061,cubes_norm_inv3_2xlen2.smt2,0
4c14a44c-f972-457a-abff-997f575c1be8,vampireZ3,solved,24,5.361,cubes_norm_inv3_2xlen3.smt2,0
9b55224e-fb75-415d-a6f3-a40f1aff3dc3,vampireZ3,solved,24,4.451,cubes_norm_inv3_3xlen2.smt2,0
d47eb4be-9ed7-4e1b-87da-b77f232614c4,vampireZ3,solved,23,2.479,cubes_norm_inv4_1xlen2.smt2,0
f771d6e0-31d8-484d-a315-7a14c10cda9b,vampireZ3,solved,24,2.046,cubes_norm_inv4_1xlen3.smt2,0
94b24a56-bc8f-404e-91ee-8384f9a9a928,vampireZ3,solved,23,2.046,cubes_norm_inv4_1xlen4.smt2,0
8e9053bb-0a2f-4a6c-9788-84c6827354e3,vampireZ3,solved,23,2.121,cubes_norm_inv4_2xlen2.smt2,0
97891acb-e79b-494e-b8bc-61fbe576ad50,vampireZ3,solved,24,2.176,cubes_norm_inv4_2xlen3.smt2,0
8769b21b-8e3e-47e6-98a6-60e68b6fb064,vampireZ3,solved,23,11.01,cubes_norm_inv4_3xlen2.smt2,0
30cdacc3-701c-4081-a6fe-199989561d5d,z3,solved,186,0.05,cubes_norm_inv1_1xlen2.smt2,-1
86219998-02a2-4378-be87-79a62fe9195f,z3,solved,180,0.02,cubes_norm_inv1_1xlen3.smt2,-1
8d7fa2df-5650-4627-86ce-14489e1621a3,z3,solved,241,0.02,cubes_norm_inv1_1xlen4.smt2,-1
59d56eac-60e1-428c-a1a2-8488d395ca1b,z3,solved,263,0.03,cubes_norm_inv1_2xlen2.smt2,-1
a21a295c-8f88-417e-b739-7b668afb5b97,z3,solved,359,0.04,cubes_norm_inv1_2xlen3.smt2,-1
faf572d0-6e06-49ae-96b8-7c7b0e4b2cb2,z3,solved,436,0.04,cubes_norm_inv1_3xlen2.smt2,-1
6c3a84d9-25cb-445c-9db3-0f5eeb1b2d74,z3,solved,245,0.04,cubes_norm_inv2_1xlen2.smt2,-1
f2d4f85a-c959-4c94-854d-ea9509393c85,z3,solved,210,0.03,cubes_norm_inv2_1xlen3.smt2,-1
91f9969e-3a89-44a7-838e-39cea50d2dc6,z3,solved,264,0.04,cubes_norm_inv2_1xlen4.smt2,-1
bb88fe98-9dc6-4c12-92a2-cdaa670dc5a3,z3,solved,376,0.09,cubes_norm_inv2_2xlen2.smt2,-1
